Id,Name,CreatedDate,IsDeleted,LastModifiedDate,AQB__Gift__c,AQB__Account__c,AQB__Amount__c,AQB__Balance__c,AQB__Batch__c,AQB__ConditionalPledge__c,AQB__Date__c,AQB__Method__c,AQB__PledgeStipulation__c,AQB__PledgePayment__c,AQB__Type__c
a2EVa00000006ylMAA,014027281,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBRIA4,001Va000002eduYIAQ,20,0,,false,1992-10-26,Check,,false,Payment
a2EVa00000006ymMAA,014027282,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBSIA4,001Va000002eduZIAQ,25,0,,false,1995-04-07,Check,,false,Payment
a2EVa00000006ynMAA,014027283,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBTIA4,001Va000002eduZIAQ,25,0,,false,1992-11-30,Check,,false,Payment
a2EVa00000006yoMAA,014027284,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBUIA4,001Va000002eduZIAQ,25,0,,false,1992-07-06,Check,,false,Payment
a2EVa00000006ypMAA,014027285,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBVIA4,001Va000002eduZIAQ,25,0,,false,1991-10-25,Check,,false,Payment
a2EVa00000006yqMAA,014027286,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBWIA4,001Va000002eduZIAQ,20,0,,false,1990-08-11,Check,,false,Payment
a2EVa00000006yrMAA,014027287,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBXIA4,001Va000002eduaIAA,25,0,,false,1990-06-07,Check,,false,Payment
a2EVa00000006ysMAA,014027288,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBYIA4,001Va000002edubIAA,20,0,,false,1993-05-11,Check,,false,Payment
a2EVa00000006ytMAA,014027289,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBZIA4,001Va000002edubIAA,20,0,,false,1993-02-16,Check,,false,Payment
a2EVa00000006yuMAA,014027290,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBaIAO,001Va000002edubIAA,20,0,,false,1992-06-03,Check,,false,Payment
